Region,State/Division,Branch Name,Address in Myanmar,Address in English,Phone number,Latitude,Longitude,Locatin on Google Map
, ,Thanbyuzayat,အမှတ် (၁၀၇)၊ အောင်မင်္ဂလာ(၂)လမ်း ၊ အောင်မင်္ဂလာရပ်ကွက်၊ သံဖြူဇရပ်မြို့နယ်၊မွန်ပြည်နယ်။,"No. (107), Aung Mingalar 2nd street, Aung Mingalar ward, Thanphyuzayat township, Mon State, Myanmar",9969907124,15°57'57.2,97°43'51.9,"https://www.google.com/maps/place/15%C2%B057'57.2%22N+97%C2%B043'51.9%22E/@15.965896,97.731089,17z/data=!3m1!4b1!4m4!3m3!8m2!3d15.965896!4d97.731089?entry=ttu"
, ,Mawlamyine,အမှတ် (၂၀) ဘီ၊ တောင်ရိုးတန်းလမ်း၊ စစ်ကဲကုန်းရပ်ကွက်၊ မော်လမြိုင်မြို့နယ်၊ မွန်ပြည်နယ်။,"No.20 B, Townyoetan street, Sitkae Kone ward, Mawlamyine City, Mon State",9977227188,16.48175,97.625861,https://goo.gl/maps/MpyxbqEHteDaAugW6
, ,Mudon,ဘိုတဲလမ်း၊  မြို့မ(၁)ရပ်ကွက်၊ မုဒုံမြို့နယ်၊ မွန်ပြည်နယ်။၊ ,"Botel Street, Myo Ma 1 Ward, Mudon , Mon State, Myanmar",9969907139,16.25396,97.71937,https://maps.app.goo.gl/DSsZE87SAPF8bWL79
, ,Paung,အမှတ် ၂၅၂(ဟောင်း)၊ ဗညားဒလအောက်လမ်း၊ မိုနိုင်းရပ်ကွက်၊ ပေါင်မြို့၊ မွန်ပြည်နယ်။,"No.(252) Old, Lower Ba Nyar Da La Street, Mo Nine Ward, Paung, Mon State, Myanmar",9969997066,16°38'20.0,97°26'51.0,https://maps.app.goo.gl/cXV5Mm9FHddFU5418
,Tanintharyi Division,Dawei,အမှတ်(၂၁၆)၊ ကညုံရပ်၊ နီလာလမ်း၊ ထားဝယ်မြို့၊ တနင်္သာရီတိုင်း။,"No.(216), Ka Nyone Ward, Nilar Street, Dawei, Tanintharyi Division, Myanmar",9965433593,14.072222,98.196111,https://goo.gl/maps/vRJDaGp6QWdtmbGd9
, ,Palaw,အမှတ်(၂/၅)၊ ငုရွှေဝါ(၁)လမ်း၊ အမှတ်(၂)ရပ်ကွက်၊ ပုလောမြို့၊ တနင်္သာရီတိုင်း။,"No.(2/5), Ngu Shwe Wah (1) Street, (2) Ward, Palaw Township, Tanintharyi Division, Myanmar.",9977630720,12.973889,98.646111,https://goo.gl/maps/tGwUJNKJYabW1qso9
, ,Kawthoung,အမှတ် (၃၉/G)၊ ပုလဲလမ်း၊ရွေဇင်ယော်ရပ်ကွက်၊ကော့သောင်းမြို့၊တနင်္သာရီတိုင်းဒေသကြီး ။,"No.(39/G),Pearl Street,Shwe Zin Yaw Ward,Kawthoung Township,Thanintharyi Region",9977630730,9.9880545,98.556875,"https://www.google.com/maps/place/9%C2%B059'16.9%22N+98%C2%B033'24.4%22E/@9.9880545,98.556875,108m/data=!3m1!1e3!4m4!3m3!8m2!3d9.988031!4d98.556775?entry=ttu"
, ,Myeik,အမှတ် (၂၈) ၊ သဲကွင်း(၃)လမ်း၊ မြန်အောင်ရပ်ကွက် ၊ တနင်္သာရီတိုင်းဒေသကြီး၊ မြိတ်မြို့။,"No (28) , Thekwin (3) Street, Manaung Ward, Thanintharyi Region",9969998244,12.4510448,98.5982517,https://maps.app.goo.gl/19GEqUQJuNFRnV5z6
Region 8,Nay Pyi Taw,Lewe,အမှတ် (၅/၁၂၈)၊ နယ်မြေ(၃) ၊ အင်းတိုင်သာ (၈)လမ်း၊(၅) ရပ်ကွက်၊လယ်ဝေးမြို့နယ်၊ နေပြည်တော်တိုင်းဒေသကြီး။,"No. (5/128), Area (3), Intaingthar 8th street, Ward (5), Lewe township, Nay Pyi Daw.",9965433177,19.636746,96.1097503,"https://www.google.com/maps/place/Lewe/@19.636746,96.1097503,14z/data=!3m1!4b1!4m6!3m5!1s0x30c8a2df81bb659b:0xf231ad6c47cff9c9!8m2!3d19.6348832!4d96.107645!16s%2Fm%2F03hjz5v?entry=ttu"
, ,Pyinmana,မြေကွက်အမှတ်(၄၁၂၅)၊ ရာဇဌာနီလမ်း ၊ အောင်သာယာရပ်ကွက်၊ ပုပ္ပသီရိမြို့၊ နေပြည်တော်တိုင်းဒေသကြီး။,"Plot no. (4125), Yaza htar ni street, Aung Thar Yar ward, Pobba Thiri Township, Nay Pyi Daw.",9969998131,19.7622887,96.2201641,https://maps.app.goo.gl/VG1UPQ6xjQDjoSuE9
, ,Tatkon,နယ်မြေ(၈)၊ ပိတောက်လမ်း၊ မြဝတီရပ်ကွက်၊ တပ်ကုန်းမြို့နယ်၊ နေပြည်တော်တိုင်းဒေသကြီး။,"Padauk Street, Area (8), Myawaddy Ward, Tatkon Township, Naypyitaw Union Territory, Myanmar.",9977408022,20.130278,96.206389,https://goo.gl/maps/uVxzMRLzLggTqxd19
,Kayin State,Hlaingbwe,အမှတ်(၅၉/၁)၊ မြို့ပတ်လမ်းနှင့်ကြာအင်းလမ်းထောင့်၊ အမှတ်(၁)ရပ်ကွက်၊ ဘားအံမြို့၊ ကရင်ပြည်နယ်။,"No.(59/1), Corner of Myo Pat Street and Kyar Inn Street, (1) Ward, Hpa An Township, Kayin State.",9965433509,16.872472,97.641028,https://goo.gl/maps/tXAxuNZYEJ9BUYbP8
,Bago Division,Taungoo,အမှတ်(၃/၄၀၉)၊ (၅)လမ်း၊ (၃)ရပ်ကွက်၊ တောင်ငူမြို့၊ ပဲခူးတိုင်းဒေသကြီး။,"No. (3/409), 5th street, (3) Ward, Taungoo, Bago Division, Myanmar.",9969998015,18.948578,96.432952,https://goo.gl/maps/hxyZzSH3tgfrTgWn8
, ,Phyu,အမှတ်(၂၂၀)၊ (၁) လမ်း၊ မြို့မအနောက်ရပ်ကွက်၊ ဖြူးမြို့နယ်၊ ပဲခူးတိုင်းဒေသကြီး။,"No.(220), 1st Street, Myoma West Ward, Phyu Township, Bago Division, Myanmar",9969998101,18.487417,96.435778,https://goo.gl/maps/Yj1HpjuLoPqQV1Lq7
, ,Yedashe,အမှတ်(၉၀)၊ သုခလမ်း၊ (၂) ရပ်ကွက်၊ ရေတာရှည်မြို့၊ ပဲခူးတိုင်း။,"No.(90), Thu Kha Street, (2) Ward, Yedashe Township, Bago Division.",9977408840,19.158611,96.341944,https://goo.gl/maps/aKVfbkPg6MnuErXx8
